GMI_CNTRY,POPIO_NAME,POINT_X,POINT_Y,CONTINENT,POPIO_NAME_ES
ESP,Spain,-3.55667484024,40.39196488440,Europe,Espa–a
LKA,Sri Lanka,80.70655717890,7.60512533533,Asia,Sri Lanka
LCA,St-Lucia,-60.96871303260,13.89786596750,North America,St-Lucia
VCT,St-Vincent and the Grenadines,-61.19376635440,13.25480812300,North America,St-Vincent and the Grenadines
SDN,Sudan,30.04995150100,13.83153455900,Africa,Sud‡n
SUR,Suriname,-55.91182656540,4.12639414942,South America,Surinam
SWZ,Swaziland,31.49752964800,-26.56264163160,Africa,Swazilandia
SWE,Sweden,14.37675431870,60.60690823220,Europe,Suecia
CHE,Switzerland,8.22760912478,46.97425033380,Europe,Suiza
SYR,Syrian Arab Rep,38.50513103530,35.01313352180,Asia,Siria
TJK,Tajikistan,69.32039578690,38.32287343620,Asia,Tadjikist‡n
TZA,Tanzania,34.80818183120,-6.27107287242,Africa,Tanzania
THA,Thailand,101.02060347400,15.14407695800,Asia,Tailandia
BHS,The Bahamas,-78.04060060910,24.70145001180,North America,Bahamas
GMB,The Gambia,-16.06590013600,13.28506558350,Africa, Gambia
NLD,The Netherlands,5.32760464460,51.76996125000,Europe,Holanda
TGO,Togo,0.97572105421,8.53496086092,Africa,Togo
TON,Tonga,-175.20299547700,-21.19689035110,Oceania,Tonga
TTO,Trinidad and Tobago,-61.29212105580,10.41707960040,North America,Trinidad y Tobago
TUN,Tunisia,9.53694069141,33.76460578120,Africa,Tœnez
TUR,Turkey,35.43744118090,38.98866929030,Asia,Turqu’a
TKM,Turkmenistan,58.96053224460,40.09933083560,Asia,Turkmenistan
UGA,Uganda,32.38621794140,1.27996384993,Africa,Uganda
UKR,Ukraine,31.38711478910,49.01708827780,Europe,Ucrania
ARE,United Arab Emirates,53.98249529200,23.43353149860,Asia,Emiratos çrabes Unidos
GBR,United Kingdom,-0.24654563597,52.24972155270,Europe,Reino Unido
USA,United States,-99.12886935440,39.53167210410,North America,Estados  Unidos
URY,Uruguay,-56.01239641680,-32.79964546370,South America,Uruguay
VIR,US Virgin Islands,-64.76258519050,17.73553803880,North America,Islas V’rgenes
UZB,Uzbekistan,63.16937232140,41.75043662660,Asia,Uzbekist‡n
VUT,Vanuatu,166.87969075000,-15.38191250510,Oceania,Vanuatu
VNM,Vietnam,107.63382024800,11.98331272460,Asia,Vietnam
ESH,Western Sahara,-13.13653943650,24.66167134090,Africa,Sahara Occidental
ZMB,Zambia,27.84933672980,-14.60303417140,Africa,Zambia
ZWE,Zimbabwe,29.87183776590,-19.00009782760,Africa,Zimbabwe
